id,name,type,party,age,sex
PLA,Platzeck,0,SP,2,1
POF,Pofalla,0,I,2,1
PRA,Praetorius,0,W,NA,2
TIL,Tillich,0,CD,2,1
HAS,Hasselfeldt,0,CS,2,2
KAM,Kampeter,0,V,2,1
KAP,Kapferer,0,E,2,1
KEM,Kempf,0,V,2,1
NEM,Nemat,0,I,2,2
REI,Reiche,0,V,2,2
ROE,Röstel,0,E,2,2
SCHW,Schweitzer,0,V,2,1
GRO,Grothus,0,U,NA,2
WOD,Wodtke,0,CD,NA,2
HER,Herntier,0,P,2,2
KRE,Kreuzberg,0,CD,2,1
PRI,Priggen,0,V,2,1
VAS,Vassiliadis,0,V,2,1
SCHE,Scheidt,0,G,2,1
KOE,Körzell,0,G,2,1
KAI,Kaiser,0,U,2,1
WEI,Weiger,0,U,2,1
NIE ,Niebert,0,U,1,1
ALL,Allmendinger,0,W,2,2
MAT,Matthes,0,W,2,1
SCHE,Schellnhuber,0,W,2,1
NIEB,Niebuhr,0,W,NA,2
WEH,Wehrspohn,0,W,2,1
LAE,Lämmel,0,CD,2,1
LEN,Lenz,0,CS,1,1
MIE,Miersch,0,SP,2,1
P,Politik,1,NA,NA,NA
V,Verband,1,NA,NA,NA
G,Gewerkschaft,1,NA,NA,NA
U,Umweltschutz,1,NA,NA,NA
I,Industrie,1,NA,NA,NA
E,Energie,1,NA,NA,NA
W,Wissenschaft,1,NA,NA,NA
R,Regionalvertreter,1,NA,NA,NA
CD,CDU,1,NA,NA,NA
CS,CSU,1,NA,NA,NA
SP,SPD,1,NA,NA,NA
GR,Gruene,1,NA,NA,NA
